,Aleph system number (001),Carrier type term (338 $a),Chronological subdivision - 1 (650 $y),Chronological subdivision - 2 (650 $y),Chronological subdivision - 3 (650 $y),Chronological subdivision - 4 (650 $y),Chronological subdivision - 5 (650 $y),Chronological subdivision - 6 (650 $y),Chronological subdivision - 7 (650 $y),Content type term (336 $a),Corporate name or jurisdiction name as entry element (710 $a),Country (008/15-17),Date of manufacture (264 $c),Date/Time of an Event (033 $a),Devised title (245 $a),Extent (300 $a),Form of item (008/23),Geographic subdivision - 1 (650 $z),Geographic subdivision - 2 (650 $z),Geographic subdivision - 3 (650 $z),Geographic subdivision - 4 (650 $z),Geographic subdivision - 5 (650 $z),Geographic subdivision - 6 (650 $z),Geographic subdivision - 7 (650 $z),Language (008/35-37),Link text (856 $y),Manufacturer (264 $b),Media type term (337 $a),Other title - 1 (246 $a),Other title - 10 (246 $a),Other title - 11 (246 $a),Other title - 12 (246 $a),Other title - 13 (246 $a),Other title - 2 (246 $a),Other title - 3 (246 $a),Other title - 4 (246 $a),Other title - 5 (246 $a),Other title - 6 (246 $a),Other title - 7 (246 $a),Other title - 8 (246 $a),Other title - 9 (246 $a),Place of manufacture (264 $a),Relator term (710 $e),Source (336 $2),Source (337 $2),Source (338 $2),Title statement of original (534 $t),Topical term or geographic name entry element - 1 (650 $a),Topical term or geographic name entry element - 2 (650 $a),Topical term or geographic name entry element - 3 (650 $a),Topical term or geographic name entry element - 4 (650 $a),Topical term or geographic name entry element - 5 (650 $a),Topical term or geographic name entry element - 6 (650 $a),Topical term or geographic name entry element - 7 (650 $a)
282,,online resource,1826.0,,,,,,,text,British Library Playbills Project,enk,[2018],1839,"[Miscellaneous Plymouth theatres playbill for Match Making. Or, Military Tactics; Young Widow]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Match Making. Or, Military Tactics",,,,,Young Widow,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Match Making. Or, Military Tactics; Young Widow]",Comedy,,,,,,
283,,online resource,1828.0,1828.0,,,,,,text,British Library Playbills Project,enk,[2018],1838,[Miscellaneous Plymouth theatres playbill for A School for Scandal; Lady and the Devil],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,A School for Scandal,,,,,Lady and the Devil,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A School for Scandal; Lady and the Devil],Comedy,Farce,,,,,
284,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1849,"[Miscellaneous Plymouth theatres playbill for Peter Wilkins; Or, the Flying Islanders; Thirty Years Or, a Gambler's Life]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,"Peter Wilkins; Or, the Flying Islanders",,,,,"Thirty Years Or, a Gambler's Life",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Peter Wilkins; Or, the Flying Islanders; Thirty Years Or, a Gambler's Life]",,,,,,,
285,,online resource,1825.0,1825.0,,,,,,text,British Library Playbills Project,enk,[2018],1866,[Miscellaneous Plymouth theatres playbill for More Blunders Than One; The Rivals: Or a Trip to Bath],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,More Blunders Than One,,,,,The Rivals: Or a Trip to Bath,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for More Blunders Than One; The Rivals: Or a Trip to Bath],Comedy,Farce,,,,,
286,,online resource,1828.0,,,,,,,text,British Library Playbills Project,enk,[2018],1840,"[Miscellaneous Plymouth theatres playbill for Thirty Years; Or, a Gambler's Life; A New Way to Pay Old Debts; The Serjeant's Wife]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Thirty Years; Or, a Gambler's Life",,,,,A New Way to Pay Old Debts,The Serjeant's Wife,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Thirty Years; Or, a Gambler's Life; A New Way to Pay Old Debts; The Serjeant's Wife]",Comedy,,,,,,
287,,online resource,1827.0,,,,,,,text,British Library Playbills Project,enk,[2018],1833,"[Miscellaneous Plymouth theatres playbill for A Day After the Wedding; Matrimony; Perouse: Or, the Desolate Island]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,A Day After the Wedding,,,,,Matrimony,"Perouse: Or, the Desolate Island",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for A Day After the Wedding; Matrimony; Perouse: Or, the Desolate Island]",Historical Pantomime,,,,,,
288,,online resource,1826.0,,,,,,,text,British Library Playbills Project,enk,[2018],1857,"[Miscellaneous Plymouth theatres playbill for The Pilot Or, a Tale of the Sea; Virginius, Or, the Liberation of Rome]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"The Pilot Or, a Tale of the Sea",,,,,"Virginius, Or, the Liberation of Rome",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Pilot Or, a Tale of the Sea; Virginius, Or, the Liberation of Rome]",Tragedy,,,,,,
289,,online resource,1800.0,1800.0,,,,,,text,British Library Playbills Project,enk,[2018],1811,[Miscellaneous Plymouth theatres playbill for The Farmer; Speed the Plough],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Farmer,,,,,Speed the Plough,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Farmer; Speed the Plough],Musical Farce,Comedy,,,,,
290,,online resource,1830.0,,,,,,,text,British Library Playbills Project,enk,[2018],1859,"[Miscellaneous Plymouth theatres playbill for Black-Eyed Susan: Or, All in the Downs; Thirty Years Or, a Gambler's Life]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Black-Eyed Susan: Or, All in the Downs",,,,,"Thirty Years Or, a Gambler's Life",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Black-Eyed Susan: Or, All in the Downs; Thirty Years Or, a Gambler's Life]",Nautical Drama,,,,,,
291,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1856,[Miscellaneous Plymouth theatres playbill for Rob Roy Macgregor; Death of Captain Cook],1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,Rob Roy Macgregor,,,,,Death of Captain Cook,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Rob Roy Macgregor; Death of Captain Cook],,,,,,,
292,,online resource,1828.0,,,,,,,text,British Library Playbills Project,enk,[2018],1859,"[Miscellaneous Plymouth theatres playbill for Three Weeks After Marriage; Ways and Means; The Cataract of the Ganges: Or, the Rajah's Daughter]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Three Weeks After Marriage,,,,,Ways and Means,"The Cataract of the Ganges: Or, the Rajah's Daughter",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Three Weeks After Marriage; Ways and Means; The Cataract of the Ganges: Or, the Rajah's Daughter]",Farce,,,,,,
293,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1855,[Miscellaneous Plymouth theatres playbill for Rienzi],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Rienzi,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Rienzi],Farce,Tragedy,,,,,
294,,online resource,1827.0,1827.0,,,,,,text,British Library Playbills Project,enk,[2018],1855,[Miscellaneous Plymouth theatres playbill for Sweethearts and Wives; Inkle and Yarico],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Sweethearts and Wives,,,,,Inkle and Yarico,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Sweethearts and Wives; Inkle and Yarico],Musical Farce,Comedy,,,,,
295,,online resource,1833.0,,,,,,,text,British Library Playbills Project,enk,[2018],1875,[Miscellaneous Plymouth theatres playbill for The Field of 40 Footsteps; Don Juan; Or the Libertine Destroyed],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Field of 40 Footsteps,,,,,Don Juan; Or the Libertine Destroyed,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Field of 40 Footsteps; Don Juan; Or the Libertine Destroyed],Pantomime,,,,,,
296,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1839,"[Miscellaneous Plymouth theatres playbill for Love Among the Roses; Father and Son: Or, the Rock of La Charbonniere; The Young Widow: Or, a Lesson for Lovers]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,Love Among the Roses,,,,,"Father and Son: Or, the Rock of La Charbonniere","The Young Widow: Or, a Lesson for Lovers",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Love Among the Roses; Father and Son: Or, the Rock of La Charbonniere; The Young Widow: Or, a Lesson for Lovers]",,,,,,,
297,,online resource,1825.0,,,,,,,text,British Library Playbills Project,enk,[2018],1862,[Miscellaneous Plymouth theatres playbill for Raising the Wind; Faustus],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Raising the Wind,,,,,Faustus,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Raising the Wind; Faustus],Romantic Drama,,,,,,
298,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1848,"[Miscellaneous Plymouth theatres playbill for Macbeth; Napoleon Or, the Emperor and the Soldier]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,Macbeth,,,,,"Napoleon Or, the Emperor and the Soldier",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Macbeth; Napoleon Or, the Emperor and the Soldier]",,,,,,,
299,,online resource,1834.0,1834.0,1834.0,,,,,text,British Library Playbills Project,enk,[2018],1851,"[Miscellaneous Plymouth theatres playbill for Tom Thumb the Great; Somnambulist: Or, the White Phantom; 20 Years of a Gambler's Life]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Tom Thumb the Great,,,,,"Somnambulist: Or, the White Phantom",20 Years of a Gambler's Life,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Tom Thumb the Great; Somnambulist: Or, the White Phantom; 20 Years of a Gambler's Life]",Drama,Drama,Laughable Tragedy,,,,
300,,online resource,1829.0,,,,,,,text,British Library Playbills Project,enk,[2018],1833,"[Miscellaneous Plymouth theatres playbill for Wood Demon Or, the Clock Has Struck; The Haunted Inn]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Wood Demon Or, the Clock Has Struck",,,,,The Haunted Inn,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Wood Demon Or, the Clock Has Struck; The Haunted Inn]",Farce,,,,,,
301,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1865,[Miscellaneous Plymouth theatres playbill for Turnpike Gate; The Scapegrace; The Merchant of Venice],1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,Turnpike Gate,,,,,The Scapegrace,The Merchant of Venice,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Turnpike Gate; The Scapegrace; The Merchant of Venice],,,,,,,
302,,online resource,1833.0,,,,,,,text,British Library Playbills Project,enk,[2018],1857,[Miscellaneous Plymouth theatres playbill for Mrs. Wiggins; The Hunchback],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Mrs. Wiggins,,,,,The Hunchback,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Mrs. Wiggins; The Hunchback],Farce,,,,,,
303,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1832,"[Miscellaneous Plymouth theatres playbill for Othello, Moor of Venice; Blue Beard; Or, Female Curiosity]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,"Othello, Moor of Venice",,,,,"Blue Beard; Or, Female Curiosity",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Othello, Moor of Venice; Blue Beard; Or, Female Curiosity]",,,,,,,
304,,online resource,1825.0,1825.0,,,,,,text,British Library Playbills Project,enk,[2018],1848,[Miscellaneous Plymouth theatres playbill for Tom Thumb; Matrimony; Irishman in London],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Tom Thumb,,,,,Matrimony,Irishman in London,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Tom Thumb; Matrimony; Irishman in London],Musical Burletta,Farce,,,,,
305,,online resource,1829.0,1829.0,1829.0,,,,,text,British Library Playbills Project,enk,[2018],1858,"[Miscellaneous Plymouth theatres playbill for The Sister of Charity; Three and the Deuce; Irish Tutor; Love Among the Roses; The Earl of Essex; Dramatist: Or, Stop Him Who Can]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,The Sister of Charity,,,,,Three and the Deuce,Irish Tutor,Love Among the Roses,The Earl of Essex,"Dramatist: Or, Stop Him Who Can",,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Sister of Charity; Three and the Deuce; Irish Tutor; Love Among the Roses; The Earl of Essex; Dramatist: Or, Stop Him Who Can]",Comedy,Romantic Drama,Tragedy,,,,
306,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1840,"[Miscellaneous Plymouth theatres playbill for Wood Demon Or, the Clock Has Struck; The Green-Eyed Monster]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Wood Demon Or, the Clock Has Struck",,,,,The Green-Eyed Monster,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Wood Demon Or, the Clock Has Struck; The Green-Eyed Monster]",Comedy,Drama,,,,,
307,,online resource,1796.0,1796.0,,,,,,text,British Library Playbills Project,enk,[2018],1826,"[Miscellaneous Plymouth theatres playbill for The Rage; Lock and Key; Or, a Devonshire Story; New Hay at the Old Market]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Rage,,,,,"Lock and Key; Or, a Devonshire Story",New Hay at the Old Market,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Rage; Lock and Key; Or, a Devonshire Story; New Hay at the Old Market]",Comedy,Musical Farce,,,,,
308,,online resource,1834.0,,,,,,,text,British Library Playbills Project,enk,[2018],1839,[Miscellaneous Plymouth theatres playbill for Follies of Fashion; Tale of Mystery],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Follies of Fashion,,,,,Tale of Mystery,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Follies of Fashion; Tale of Mystery],Comedy,,,,,,
309,,online resource,1833.0,,,,,,,text,British Library Playbills Project,enk,[2018],1852,[Miscellaneous Plymouth theatres playbill for The Castle Spectre; The Lady and the Devil],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Castle Spectre,,,,,The Lady and the Devil,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Castle Spectre; The Lady and the Devil],Farce,,,,,,
310,,online resource,1830.0,,,,,,,text,British Library Playbills Project,enk,[2018],1866,"[Miscellaneous Plymouth theatres playbill for The Green-Eyed Monster; The Youthful Queen; The Forest of Bondy; Or, the Dog of Montargis]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Green-Eyed Monster,,,,,The Youthful Queen,"The Forest of Bondy; Or, the Dog of Montargis",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Green-Eyed Monster; The Youthful Queen; The Forest of Bondy; Or, the Dog of Montargis]",Comedy,,,,,,
311,,online resource,1830.0,,,,,,,text,British Library Playbills Project,enk,[2018],1855,[Miscellaneous Plymouth theatres playbill for Catherine and Petruchio],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Catherine and Petruchio,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Catherine and Petruchio],Tragedy,,,,,,
312,,online resource,1833.0,,,,,,,text,British Library Playbills Project,enk,[2018],1849,[Miscellaneous Plymouth theatres playbill for Victorine; Hunchback],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Victorine,,,,,Hunchback,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Victorine; Hunchback],Drama,,,,,,
313,,online resource,1829.0,,,,,,,text,British Library Playbills Project,enk,[2018],1855,"[Miscellaneous Plymouth theatres playbill for A Day at Boulogne: Or, My Master's Rival; Home, Sweet Home: Or, the Ranz Des Vaches; The Invincibles: Ou, Les Femmes Soldats]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"A Day at Boulogne: Or, My Master's Rival",,,,,"Home, Sweet Home: Or, the Ranz Des Vaches","The Invincibles: Ou, Les Femmes Soldats",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for A Day at Boulogne: Or, My Master's Rival; Home, Sweet Home: Or, the Ranz Des Vaches; The Invincibles: Ou, Les Femmes Soldats]",Farce,,,,,,
314,,online resource,1882.0,1882.0,1882.0,,,,,text,British Library Playbills Project,enk,[2018],1919,[Miscellaneous Plymouth theatres playbill for Mr. And Mrs. White; The Corsican Brothers; The Two Orphans],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Mr. And Mrs. White,,,,,The Corsican Brothers,The Two Orphans,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Mr. And Mrs. White; The Corsican Brothers; The Two Orphans],Drama,Drama,Farce,,,,
315,,online resource,1839.0,1839.0,1839.0,,,,,text,British Library Playbills Project,enk,[2018],1867,[Miscellaneous Plymouth theatres playbill for Two Gregories; Jane Shore; Forest of Bondy; The Famous Dog 'Neptune],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Two Gregories,,,,,Jane Shore,Forest of Bondy,The Famous Dog 'Neptune,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Two Gregories; Jane Shore; Forest of Bondy; The Famous Dog 'Neptune],Tragedy,Melodrama,Farce,,,,
316,,online resource,1835.0,1835.0,,,,,,text,British Library Playbills Project,enk,[2018],1866,"[Miscellaneous Plymouth theatres playbill for Turn Out; Henriette Or, the Forsaken]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Turn Out,,,,,"Henriette Or, the Forsaken",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Turn Out; Henriette Or, the Forsaken]",Farce,Melodrama,,,,,
317,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1863,[Miscellaneous Plymouth theatres playbill for Guy Mannering; The Man About Town],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Guy Mannering,,,,,The Man About Town,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Guy Mannering; The Man About Town],Farce,Operatic Play,,,,,
318,,online resource,1834.0,1834.0,1834.0,1834.0,1834.0,,,text,British Library Playbills Project,enk,[2018],1865,"[Miscellaneous Plymouth theatres playbill for The Quaker; Charles the Second: Or, the Merry Monarch; The Rivals; My Neighbour's Wife; The Day After the Wedding]",1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,,,eng,digitised sheet,[British Library],computer,The Quaker,,,,,"Charles the Second: Or, the Merry Monarch",The Rivals,My Neighbour's Wife,The Day After the Wedding,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Quaker; Charles the Second: Or, the Merry Monarch; The Rivals; My Neighbour's Wife; The Day After the Wedding]",Farce,Comedy,Comedy,Musical Farce,Interlude,,
319,,online resource,1837.0,1837.0,1837.0,,,,,text,British Library Playbills Project,enk,[2018],1856,"[Miscellaneous Plymouth theatres playbill for The Broken Sword; Sinbad the Sailor!! Or the Valley of Diamonds; Married Life, Or, Fireside Sketches]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,The Broken Sword,,,,,Sinbad the Sailor!! Or the Valley of Diamonds,"Married Life, Or, Fireside Sketches",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Broken Sword; Sinbad the Sailor!! Or the Valley of Diamonds; Married Life, Or, Fireside Sketches]",Drama,Comedy,Ballet,,,,
320,,online resource,1836.0,1836.0,1836.0,1836.0,,,,text,British Library Playbills Project,enk,[2018],1854,[Miscellaneous Plymouth theatres playbill for Mountaineers!!! Or Love and Madness; My Uncle John; A Day After the Wedding; Love and Madness],1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,,,,eng,digitised sheet,[British Library],computer,Mountaineers!!! Or Love and Madness,,,,,My Uncle John,A Day After the Wedding,Love and Madness,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Mountaineers!!! Or Love and Madness; My Uncle John; A Day After the Wedding; Love and Madness],Comedy,Entertainment,Play,Play,,,
321,,online resource,1837.0,1837.0,,,,,,text,British Library Playbills Project,enk,[2018],1847,[Miscellaneous Plymouth theatres playbill for My Uncle John; Every One Has His Fault; Pas De Nina],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,My Uncle John,,,,,Every One Has His Fault,Pas De Nina,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for My Uncle John; Every One Has His Fault; Pas De Nina],Farce,Comedy,,,,,
322,,online resource,1834.0,1834.0,1834.0,,,,,text,British Library Playbills Project,enk,[2018],1848,[Miscellaneous Plymouth theatres playbill for Miller's Maid; Lottery Ticket; Blue Devils],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Miller's Maid,,,,,Lottery Ticket,Blue Devils,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Miller's Maid; Lottery Ticket; Blue Devils],Farce,Farce,Melo-Drama,,,,
323,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1848,[Miscellaneous Plymouth theatres playbill for White Cat],1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,White Cat,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for White Cat],,,,,,,
324,,online resource,1837.0,1837.0,,,,,,text,British Library Playbills Project,enk,[2018],1854,[Miscellaneous Plymouth theatres playbill for The Jenkins; Sinbad the Sailor!! Or the Valley of Diamonds; Mr. & Mrs. Pringle],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Jenkins,,,,,Sinbad the Sailor!! Or the Valley of Diamonds,Mr. & Mrs. Pringle,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Jenkins; Sinbad the Sailor!! Or the Valley of Diamonds; Mr. & Mrs. Pringle],Ballet,Petite Comedy,,,,,
325,,online resource,1845.0,,,,,,,text,British Library Playbills Project,enk,[2018],1861,"[Miscellaneous Plymouth theatres playbill for Sweethearts and Wives; Aladdin; Or, the Wonderful Lamp]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Sweethearts and Wives,,,,,"Aladdin; Or, the Wonderful Lamp",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Sweethearts and Wives; Aladdin; Or, the Wonderful Lamp]",Comedy,,,,,,
326,,online resource,1839.0,1839.0,,,,,,text,British Library Playbills Project,enk,[2018],1856,[Miscellaneous Plymouth theatres playbill for Lady of Lyons; The Spectre Bridegroom],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Lady of Lyons,,,,,The Spectre Bridegroom,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Lady of Lyons; The Spectre Bridegroom],Farce,Play,,,,,
327,,online resource,1839.0,1839.0,,,,,,text,British Library Playbills Project,enk,[2018],1853,"[Miscellaneous Plymouth theatres playbill for Lottery Ticket; Richard the Third: Or, the Battle of Bosworth Field]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Lottery Ticket,,,,,"Richard the Third: Or, the Battle of Bosworth Field",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Lottery Ticket; Richard the Third: Or, the Battle of Bosworth Field]",Tragedy,Farce,,,,,
328,,online resource,1848.0,1848.0,1848.0,1848.0,,,,text,British Library Playbills Project,enk,[2018],1877,"[Miscellaneous Plymouth theatres playbill for Henry the Eighth; Crossing the Line; Or Crowded Houses; The Lawless Witness; Or, a Legend of the Pedlar's Dyke; Curse of St. Valliere; Or, the King, the Deformed, and the Gypsey]",1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,,,,eng,digitised sheet,[British Library],computer,Henry the Eighth,,,,,Crossing the Line; Or Crowded Houses,"The Lawless Witness; Or, a Legend of the Pedlar's Dyke","Curse of St. Valliere; Or, the King, the Deformed, and the Gypsey",,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Henry the Eighth; Crossing the Line; Or Crowded Houses; The Lawless Witness; Or, a Legend of the Pedlar's Dyke; Curse of St. Valliere; Or, the King, the Deformed, and the Gypsey]",Tragedy,Drama,Drama,Comic Farce,,,
329,,online resource,1835.0,1835.0,,,,,,text,British Library Playbills Project,enk,[2018],1862,[Miscellaneous Plymouth theatres playbill for The Rogueries of Nicholas; Honey Moon; Spectre Bridegroom],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Rogueries of Nicholas,,,,,Honey Moon,Spectre Bridegroom,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Rogueries of Nicholas; Honey Moon; Spectre Bridegroom],Comedy,Farce,,,,,
330,,online resource,1834.0,,,,,,,text,British Library Playbills Project,enk,[2018],1872,[Miscellaneous Plymouth theatres playbill for Masaniello; George Barnwell],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Masaniello,,,,,George Barnwell,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Masaniello; George Barnwell],Tragedy,,,,,,
331,,online resource,1837.0,,,,,,,text,British Library Playbills Project,enk,[2018],1852,"[Miscellaneous Plymouth theatres playbill for Hamlet; Cinderella Or, the Little Glass Slipper]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Hamlet,,,,,"Cinderella Or, the Little Glass Slipper",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Hamlet; Cinderella Or, the Little Glass Slipper]",Tragedy,,,,,,
332,,online resource,1836.0,1836.0,1836.0,,,,,text,British Library Playbills Project,enk,[2018],1865,[Miscellaneous Plymouth theatres playbill for Honey Moon; Bombastes Furioso; The Wedding Day],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Honey Moon,,,,,Bombastes Furioso,The Wedding Day,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Honey Moon; Bombastes Furioso; The Wedding Day],Comedy,Farce,Entertainment,,,,
